Gender,Age,Semester,Branch,Difficulty_Level,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level,Sleep_Hours_per_Night,Final_Score,Grade,Pass/Fail
Male,25,7,ME,Hard,83.11960098695045,43.60288916459255,57.313551101055616,61.26710019778198,2.1899651670199134,26.55488223262025,13.113085434083857,Yes,None,Mid,4.360994965180333,6.643720205701657,42.53758668554781,D,Pass
Female,26,8,CSE,Hard,80.14647655601523,46.570203742911715,77.29505835259644,64.96355029832918,,20.097327933704836,23.047135381814286,Yes,Primary,Mid,4.577770798573177,9.0,50.71722523573545,C,Pass
Female,21,4,CSE,Moderate,47.7766557819388,50.78864886398988,91.27740681760946,82.46502603281586,4.317888614603368,18.284042239452493,,No,Primary,Low,2.6437305199827494,7.425057060084101,58.44044656465393,C,Pass
Male,20,2,ME,Easy,70.24541838370617,47.50530153084469,74.33469669022794,44.88417930336199,,14.656668563569259,12.339113691529754,Yes,Primary,None,3.178600799868698,8.100680309633228,57.42530427340583,C,Pass
Male,22,5,ECE,Moderate,92.45790666621667,80.38125160182128,100.0,65.22391260364857,4.45050472480645,20.28576480582802,12.66099967192957,Yes,Secondary,Mid,4.854658680064021,7.7802187790295765,72.65182303812819,A,Pass
Male,26,8,ME,Hard,58.94218043138821,58.304706761584605,79.76843864493905,67.28740843870884,9.046221502400579,15.281999775314286,14.616785807725707,Yes,Secondary,None,7.753578617886677,5.13708042416391,41.97177696811053,D,Pass
Male,24,6,Civil,Hard,66.7203495916689,44.173989173928454,68.66876670835246,47.379317948180315,7.188913447473171,19.575943496867083,28.585450153128512,No,Secondary,Low,5.9619604804418085,7.158879881532197,50.09779367857638,C,Pass
Female,21,3,CSE,Moderate,100.0,59.16941934411032,68.13851899088384,81.34474859360796,3.9617746420535465,18.47854356936365,11.966850803526004,Yes,Secondary,Mid,1.7216866527348054,7.048593351049925,53.419027168183945,C,Pass
Male,20,3,ME,Moderate,79.88846812959164,68.75596180856012,74.7886166241759,35.86228720556588,4.109678130206211,25.5041228522745,19.488892657751226,Yes,None,Low,5.93141701498158,8.222983488493652,20.0,F,Fail
Female,20,3,CSE,Moderate,71.13009073621922,61.08308250447522,69.48917215490896,64.96557254734316,5.560539711670305,12.789302879404813,17.797605460766075,Yes,Secondary,None,5.082013782888365,8.601108088713925,52.45907290582928,C,Pass
Male,25,7,ECE,Hard,67.84412067832339,61.743188549928554,49.495719633804036,67.48665011936528,3.8915978535429896,15.545198271688655,15.496592790364538,Yes,Postgraduate,High,3.7338680869829695,8.347733916022381,39.56345558964658,F,Fail
Female,24,6,CSE,Hard,80.5958943253758,37.56974880432824,65.48083680275073,88.08703331280438,2.7881027035443813,22.97652601900095,,No,Graduate,Mid,4.125505400645849,6.232307111692416,57.502990970859294,C,Pass
Female,18,1,CSE,Easy,85.27362424833248,78.65081756918843,60.36748378016157,77.76752436019132,8.463094607142846,17.085677549321776,19.189322227403245,No,Graduate,Mid,5.995108452974247,5.075500408202087,74.07223425085382,A,Pass
Male,23,6,CSE,Hard,42.66357731744131,59.725402923131156,79.77960932457832,42.602157673199116,,15.726893208831894,0.0,Yes,None,Mid,1.8560010654515966,7.39966847684043,31.316112096949908,F,Fail
