Gender,Age,Semester,Branch,Difficulty_Level,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level,Sleep_Hours_per_Night,Final_Score,Grade,Pass/Fail
Male,23,6,CSE,Hard,52.94508618425992,42.6,47.2,27.25,4.970664630379404,45.28,27.702421894304447,Yes,,Mid,5.46,8.28,56.93,C,Pass
Female,19,2,CSE,Easy,,62.31,49.93,40.11,5.159091223191423,49.82,23.138945510885478,Yes,Secondary,Mid,4.29,9.21,63.42,B,Pass
Male,18,2,Civil,Easy,74.52472767541572,61.3,47.75,48.17,3.0149226654222927,45.46,21.23546239808571,Yes,Primary,Mid,4.25,6.75,60.59,B,Pass
Male,18,3,CSE,Moderate,67.97723730493254,52.35,45.15,28.36,4.3037035107378765,39.93,19.441623474517865,Yes,,Low,5.69,6.84,58.4,C,Pass
Female,22,5,CSE,Easy,61.04871095904966,56.86,38.82,34.48,4.8776669597197175,27.46,14.898585945226245,Yes,Graduate,Low,4.18,9.28,60.73,B,Pass
Male,23,7,ECE,Hard,,42.52,36.78,28.54,4.24101796003067,31.6,14.577488395336896,Yes,Graduate,Mid,8.89,6.14,35.95,F,Fail
Male,22,4,CSE,Moderate,44.35952032383176,25.66,29.08,19.36,4.084121193512591,35.12,15.120820790501076,No,Primary,,8.76,7.99,31.72,F,Fail
Male,18,1,CSE,Easy,,74.38,56.88,36.51,8.326022254421323,24.87,20.348186831207443,No,Postgraduate,Low,6.55,6.92,77.67,A,Pass
Male,21,4,ME,Moderate,71.73391809911111,64.52,65.97,66.62,8.714778949174153,47.75,23.889578001282597,Yes,Secondary,Mid,6.36,7.4,74.33,A,Pass
Male,19,1,CSE,Easy,82.88841832760397,75.67,62.14,64.54,6.44968181610529,46.27,26.048290639195532,Yes,Secondary,Low,4.68,6.57,85.95,E,Pass
Male,18,1,CSE,Easy,73.66092400925093,40.84,30.39,36.87,2.706978719809608,34.68,11.11530098060508,No,Secondary,Mid,2.45,6.59,55.02,C,Pass
Male,25,5,ME,Moderate,44.25114317341669,51.32,55.83,35.35,6.776700471138023,45.37,21.887504430080817,Yes,,Low,5.95,7.02,54.99,C,Pass
Female,22,8,EEE,Moderate,,56.8,78.49,62.76,4.202512805590022,59.93,32.2723277906461,Yes,Graduate,Mid,6.24,7.31,63.9,B,Pass
Male,26,7,Civil,Moderate,70.69852255805556,42.24,52.4,37.63,2.822710944673956,34.83,26.912718215715604,Yes,Secondary,High,3.08,8.6,53.43,C,Pass
Female,23,6,ECE,Hard,42.79844554265313,23.25,25.27,18.65,2.805836972907053,31.76,17.83443237014262,Yes,Graduate,High,10.0,7.17,28.18,F,Fail
Male,22,6,ECE,Hard,37.660342850902936,20.0,26.58,24.41,5.275386608699991,29.99,12.508277438816338,Yes,Graduate,High,7.73,6.41,24.36,F,Fail
Male,22,7,EEE,Moderate,77.10777094037645,74.86,72.36,54.62,6.3806300515890335,58.19,34.477215230437864,Yes,Secondary,Mid,3.51,8.22,91.15,O,Pass
Male,22,6,ME,Hard,74.87053297886112,59.28,62.78,50.28,8.247664303823797,43.26,,No,Secondary,Low,5.35,7.35,64.15,B,Pass
Male,22,5,ECE,Hard,66.62125258572051,66.67,70.11,44.5,8.424557074173961,45.71,,No,Postgraduate,Low,7.3,6.12,67.86,B,Pass
Male,20,3,Civil,Moderate,81.72650795727498,71.78,49.3,52.58,,41.5,21.28162102985485,No,Graduate,Low,5.8,7.42,78.07,A,Pass
Male,20,1,ME,Easy,74.80316639340374,45.24,39.53,45.72,2.874663453575815,18.45,,No,,Low,6.58,8.49,61.87,B,Pass
Female,21,4,EEE,Moderate,69.08014205739379,32.92,40.79,47.7,5.945582976600646,39.86,19.3531871013003,Yes,Primary,Low,4.7,8.32,53.28,C,Pass
Male,25,8,Civil,Hard,83.03249050492522,66.57,61.41,63.58,6.205065845617912,62.93,23.445522973289563,Yes,Graduate,Mid,6.56,7.41,64.50999999999999,B,Pass
Male,23,5,ECE,Moderate,51.76734630905601,48.7,56.52,39.69,6.884027740405207,53.05,27.7400051564061,No,Secondary,Low,5.41,6.85,69.46,B,Pass
Male,19,2,EEE,Moderate,61.19536955177923,44.84,49.32,39.24,2.868563956012752,41.47,23.88164737804667,Yes,Graduate,High,5.21,7.06,51.37,C,Pass
Female,22,5,CSE,Moderate,61.07262901860994,51.74,57.46,37.19,4.4594135698653545,75.07,30.08218150437889,Yes,Graduate,Mid,4.4,7.84,73.04,A,Pass
Male,21,4,ME,Hard,43.96474432690539,20.0,26.39,8.32,4.59509893955241,13.43,7.691612555454093,Yes,Postgraduate,Low,10.0,6.45,19.75,F,Fail
Female,26,8,CSE,Hard,70.01017685518775,50.2,42.51,26.27,4.072900893195058,43.12,17.50950345635306,Yes,,Mid,8.58,6.32,34.42,F,Fail
Male,18,2,Civil,Easy,87.63497731832389,80.72,82.77,55.61,5.7785865508827055,75.58,38.66078083436357,Yes,Secondary,Low,3.42,7.98,93.92,O,Pass
Male,22,6,CSE,Hard,44.56889809912582,20.0,14.86,15.93,1.97965106957988,17.82,5.858687733087367,Yes,Secondary,Mid,8.94,5.43,22.83,F,Fail
Male,23,5,EEE,Moderate,71.84086613328341,36.97,62.71,35.82,7.027415926678185,57.0,24.2646520464072,Yes,Secondary,Low,7.29,6.56,58.96,C,Pass
Female,23,8,CSE,Hard,48.473513459675175,34.23,43.91,21.25,5.331849643867388,54.61,20.16563752854384,Yes,Postgraduate,Mid,6.41,7.25,41.17,D,Fail
Male,22,5,ME,Hard,70.66169560459176,20.0,48.66,46.41,2.9187174319717384,34.97,13.864823522468017,Yes,Secondary,,6.52,7.22,29.26,F,Fail
Male,23,7,CSE,Moderate,73.81510324003807,58.6,66.34,50.32,,47.61,26.030684837252878,Yes,Graduate,,5.05,8.54,74.02,A,Pass
Male,19,1,ME,Moderate,82.58040758664069,65.94,55.24,29.8,5.2115394630906655,50.26,29.84315570783389,Yes,Graduate,Low,6.71,6.29,79.8,A,Pass
Male,20,1,ECE,Moderate,59.98885877539453,51.38,42.32,43.74,4.470283106023713,36.44,19.890669542441454,Yes,Secondary,Low,9.09,6.08,62.04,B,Pass
Male,19,3,EEE,Easy,73.59151010863538,73.5,67.41,65.45,8.424212046661546,79.2,28.726407198460667,Yes,Graduate,Mid,3.16,9.51,83.06,E,Pass
Male,23,5,ME,Hard,73.68943751645477,54.49,65.85,43.39,4.011662361085601,42.82,21.21573829415021,Yes,Secondary,Low,5.47,6.39,53.62,C,Pass
Male,21,4,ME,Hard,75.02547837596393,59.65,78.75,54.39,5.007033776827443,74.21,27.584395044515247,No,Primary,High,7.03,6.73,80.42,E,Pass
Female,18,2,CSE,Easy,68.04657121513927,68.99,70.9,46.88,6.5636291980649,52.26,,No,Postgraduate,Low,3.67,9.2,75.65,A,Pass
Male,22,5,CSE,Moderate,45.983104246287965,20.0,15.98,18.89,4.965941166474378,4.32,6.08897780635146,No,Secondary,Low,8.77,7.75,20.45,F,Fail
Male,24,5,Civil,Moderate,60.72777570078972,41.01,51.64,33.29,5.920424892636625,52.72,24.575763353639047,Yes,Secondary,Low,5.91,7.21,61.1,B,Pass
