Gender,Age,Semester,Branch,Difficulty_Level,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level,Sleep_Hours_per_Night,Final_Score,Grade,Pass/Fail
Male,23,6,CSE,Hard,52.94508618425992,42.6,4.720000000000001,2.725,4.970664630379404,9.056000000000001,27.702421894304447,Yes,,Mid,5.46,8.28,56.93,C,Pass
Female,19,2,CSE,Easy,,62.31,4.993,4.011,5.159091223191423,9.964,23.13894551088548,Yes,Secondary,Mid,4.29,9.21,63.42,B,Pass
Male,18,2,Civil,Easy,74.52472767541572,61.3,4.775,4.817,3.0149226654222927,9.092,21.23546239808571,Yes,Primary,Mid,4.25,6.75,60.59,B,Pass
Male,18,3,CSE,Moderate,67.97723730493254,52.35,4.515,2.836,4.3037035107378765,7.986,19.441623474517865,Yes,,Low,5.69,6.84,58.4,C,Pass
Female,22,5,CSE,Easy,61.04871095904966,56.86,3.882,3.4479999999999995,4.8776669597197175,5.492,14.898585945226245,Yes,Graduate,Low,4.18,9.28,60.73,B,Pass
Male,23,7,ECE,Hard,,42.52,3.678,2.854,4.24101796003067,6.32,14.577488395336896,Yes,Graduate,Mid,8.89,6.14,35.95,F,Fail
Male,22,4,CSE,Moderate,44.35952032383176,25.66,2.908,1.936,4.084121193512591,7.023999999999999,15.120820790501076,No,Primary,,8.76,7.99,31.72,F,Fail
Male,18,1,CSE,Easy,,74.38,5.688000000000001,3.651,8.326022254421323,4.974,20.348186831207443,No,Postgraduate,Low,6.55,6.92,77.67,A,Pass
Male,21,4,ME,Moderate,71.73391809911111,64.52,6.5969999999999995,6.662000000000001,8.714778949174153,9.55,23.8895780012826,Yes,Secondary,Mid,6.36,7.4,74.33,A,Pass
Male,19,1,CSE,Easy,82.88841832760397,75.67,6.214,6.454000000000001,6.44968181610529,9.254000000000001,26.04829063919553,Yes,Secondary,Low,4.68,6.57,85.95,E,Pass
Male,18,1,CSE,Easy,73.66092400925093,40.84,3.039,3.687,2.706978719809608,6.936,11.11530098060508,No,Secondary,Mid,2.45,6.59,55.02,C,Pass
Male,25,5,ME,Moderate,44.25114317341669,51.32,5.583,3.535,6.776700471138023,9.074,21.887504430080817,Yes,,Low,5.95,7.02,54.99,C,Pass
Female,22,8,EEE,Moderate,,56.8,7.848999999999999,6.276,4.202512805590022,11.986,32.2723277906461,Yes,Graduate,Mid,6.24,7.31,63.9,B,Pass
Male,26,7,Civil,Moderate,70.69852255805556,42.24,5.24,3.7630000000000003,2.822710944673956,6.965999999999999,26.912718215715604,Yes,Secondary,High,3.08,8.6,53.43,C,Pass
Female,23,6,ECE,Hard,42.79844554265313,23.25,2.527,1.8649999999999998,2.805836972907053,6.352,17.83443237014262,Yes,Graduate,High,10.0,7.17,28.18,F,Fail
Male,22,6,ECE,Hard,37.660342850902936,20.0,2.658,2.441,5.275386608699991,5.997999999999999,12.508277438816338,Yes,Graduate,High,7.73,6.41,24.36,F,Fail
Male,22,7,EEE,Moderate,77.10777094037645,74.86,7.236,5.462,6.3806300515890335,11.638,34.477215230437864,Yes,Secondary,Mid,3.51,8.22,91.15,O,Pass
Male,22,6,ME,Hard,74.87053297886112,59.28,6.2780000000000005,5.0280000000000005,8.247664303823797,8.652,,No,Secondary,Low,5.35,7.35,64.15,B,Pass
Male,22,5,ECE,Hard,66.62125258572051,66.67,7.011,4.45,8.424557074173961,9.142,,No,Postgraduate,Low,7.3,6.12,67.86,B,Pass
Male,20,3,Civil,Moderate,81.72650795727498,71.78,4.93,5.258,,8.3,21.28162102985485,No,Graduate,Low,5.8,7.42,78.07,A,Pass
Male,20,1,ME,Easy,74.80316639340374,45.24,3.9530000000000003,4.572,2.874663453575815,3.69,,No,,Low,6.58,8.49,61.87,B,Pass
Female,21,4,EEE,Moderate,69.08014205739379,32.92,4.079,4.7700000000000005,5.945582976600646,7.9719999999999995,19.3531871013003,Yes,Primary,Low,4.7,8.32,53.28,C,Pass
Male,25,8,Civil,Hard,83.03249050492522,66.57,6.141,6.358,6.205065845617912,12.586,23.445522973289563,Yes,Graduate,Mid,6.56,7.41,64.50999999999999,B,Pass
Male,23,5,ECE,Moderate,51.76734630905601,48.7,5.652,3.969,6.884027740405207,10.61,27.7400051564061,No,Secondary,Low,5.41,6.85,69.46,B,Pass
